brand;processor_brand;ram_gb;ram_type;os;os_bit;graphic_card_gb;weight;display_size;warranty;Touchscreen;msoffice;price
DELL;Intel;8;DDR4;Windows;64;0;Casual;14;0;Yes;No;71890
lenovo;Intel;;;Missing;32;0;Casual;0;0;No;No;72990
MSI;Intel;16;DDR4;Windows;64;4;Casual;15.6;2;No;No;79990
ASUS;AMD;16;DDR4;Windows;64;6;Casual;15.6;1;No;No;135990
Lenovo;Intel;8;DDR4;Windows;64;4;Gaming;15.6;1;No;Yes;68990
MSI;AMD;8;DDR4;Windows;64;4;Casual;15.6;0;No;No;64990
Infinix;Intel;8;LPDDR4X;Windows;64;0;ThinNlight;14;0;No;No;32990
ASUS;Intel;16;LPDDR4X;Windows;64;0;Casual;14;1;Yes;No;134990
acer;AMD;16;DDR4;Windows;64;6;Casual;15.6;1;No;No;89990
Lenovo;Intel;16;DDR4;Windows;64;0;ThinNlight;15.6;0;No;No;64990
Mi;Intel;8;DDR4;Windows;64;2;Casual;14;1;No;No;59490
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;43970
ASUS;Intel;16;DDR4;Windows;64;0;Casual;14;1;No;No;65990
APPLE;Apple;16;DDR4;Mac;64;0;Casual;13.3;1;No;No;104990
DELL;Intel;4;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;36990
APPLE;Apple;8;DDR4;Mac;64;0;Casual;13.3;1;No;No;104990
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;0;No;No;55999
ASUS;Intel;16;DDR4;Windows;64;4;Casual;14;1;No;No;73490
HP;Intel;16;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;74490
acer;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;56990
DELL;AMD;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;47490
Lenovo;Intel;8;DDR4;Windows;64;0;Casual;14;1;Yes;Yes;53990
HP;AMD;8;DDR4;Windows;64;4;Casual;15.6;1;No;No;59990
acer;AMD;16;DDR4;Windows;64;4;Casual;15.6;0;No;No;81990
ASUS;Intel;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;36990
ASUS;Intel;4;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;39990
DELL;AMD;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;39990
ASUS;AMD;16;DDR4;Windows;64;4;Casual;14;1;No;No;79990
Lenovo;Intel;4;DDR4;Windows;64;0;Casual;15.6;2;No;No;38940
DELL;Intel;4;DDR4;Windows;64;0;Casual;15;1;No;Yes;39490
ASUS;Intel;4;LPDDR4;Missing;32;0;Casual;0;0;No;No;23490
HP;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;58340
ASUS;AMD;16;DDR4;Windows;32;0;Casual;15.6;1;No;No;154990
acer;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;No;55999
Lenovo;AMD;8;DDR4;Windows;64;4;Casual;15.6;0;No;No;69990
DELL;AMD;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;44490
acer;Intel;8;DDR4;Windows;64;0;Casual;14;0;No;No;55490
APPLE;Apple;8;DDR4;Mac;64;0;Casual;13.3;1;No;No;131990
MSI;Intel;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;48990
HP;Intel;8;DDR4;Windows;64;0;Casual;14;1;No;Yes;54990
HP;AMD;8;DDR4;Windows;64;4;Casual;15.6;1;No;No;58990
DELL;Intel;16;DDR4;Windows;64;0;ThinNlight;14;0;No;No;67990
DELL;Intel;8;DDR4;Windows;64;2;Casual;15.6;1;No;No;62490
ASUS;Intel;8;DDR4;Windows;64;0;Casual;15.6;1;No;No;45990
ASUS;Intel;16;DDR4;Windows;64;0;Casual;14;1;No;No;59990
Lenovo;Intel;8;DDR4;Windows;64;0;Casual;15.6;2;No;Yes;39999
DELL;AMD;8;DDR4;Windows;64;0;ThinNlight;14;1;No;No;59490
HP;AMD;16;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;67500
ASUS;Intel;16;DDR4;Windows;64;6;Casual;15.6;1;No;Yes;82990
ASUS;AMD;8;DDR4;Windows;32;0;Casual;15.6;1;No;Yes;54990
Lenovo;Intel;16;DDR4;Windows;64;0;Casual;14;1;Yes;Yes;85990
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;42990
Lenovo;Intel;16;DDR4;Windows;64;4;Casual;15.6;1;No;Yes;99990
ASUS;Intel;16;DDR4;Windows;64;4;Gaming;15.6;0;No;No;98990
ASUS;AMD;8;DDR4;Windows;64;4;Casual;15.6;0;No;No;71990
ASUS;Intel;8;LPDDR4X;Windows;64;0;Casual;13.3;1;Yes;No;62990
DELL;Intel;8;DDR4;Windows;64;2;Casual;14;1;No;Yes;64190
HP;AMD;8;DDR4;Windows;32;0;Casual;15.6;0;No;No;48990
ASUS;AMD;8;DDR4;Windows;64;0;Casual;14;1;Yes;Yes;62450
DELL;Intel;16;DDR4;Windows;64;0;ThinNlight;14;0;No;No;70090
acer;Intel;8;DDR4;Windows;64;0;Casual;15.6;0;No;No;49990
lenovo;Intel;;;Missing;32;0;Casual;0;0;No;No;102990
ASUS;AMD;4;DDR4;Windows;64;0;ThinNlight;15.6;1;No;No;33690
DELL;Intel;4;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;42990
acer;Intel;8;DDR4;Windows;64;0;Casual;14;0;No;No;40990
ASUS;Intel;16;DDR4;Windows;64;0;Casual;15.6;1;No;No;64990
DELL;Intel;8;DDR4;Windows;64;0;Casual;14;1;Yes;No;49990
realme;Intel;8;DDR4;Windows;64;0;Casual;14;1;No;Yes;60999
HP;AMD;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;39490
ASUS;Intel;8;DDR4;Windows;64;2;ThinNlight;15.6;1;No;No;49990
Lenovo;Intel;8;DDR4;Windows;64;2;Casual;15.6;1;No;Yes;59990
HP;AMD;8;DDR4;Windows;64;0;ThinNlight;15.6;1;No;Yes;41490
APPLE;Apple;8;DDR4;Mac;64;0;Casual;13.3;1;No;No;149990
APPLE;Apple;16;DDR4;Mac;64;0;Casual;13.3;1;No;No;169990
DELL;AMD;8;DDR4;Windows;64;0;Casual;15.6;1;No;Yes;41990
acer;Intel;32;DDR4;Windows;64;8;Casual;15.6;1;No;No;169990
ASUS;Intel;8;DDR4;Windows;64;2;Casual;15.6;1;No;Yes;60190
MSI;Intel;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;40990
MSI;Intel;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;55490
DELL;AMD;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;44490
HP;Intel;8;LPDDR4X;Windows;64;0;Casual;13.3;0;Yes;No;97990
ASUS;Intel;8;DDR4;Windows;64;0;ThinNlight;14.1;1;No;Yes;41990
Lenovo;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;Yes;No;54990
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;14;0;No;No;42190
acer;Intel;16;DDR4;Windows;64;6;Casual;15.6;1;No;No;139990
ASUS;AMD;16;DDR4;Windows;64;8;Casual;15.6;1;No;Yes;199990
DELL;Intel;8;DDR4;Windows;64;0;ThinNlight;14;1;No;Yes;39490
Lenovo;AMD;4;DDR4;Windows;64;0;Casual;0;0;No;No;19590
